Curriculum,Computer Scince,,,,,,,,
Insitution,Georgia State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus of One Variable I,MATH,2211,,,,4,,
2,Calculus of One Variable II,MATH,2212,1,,,4,,
3,Principles of Computer Science I,CSC,1301,1,,,4,,
4,Principles of Computer Science II,CSC,1302,3,,,4,,
5,Discrete Mathematics,MATH,2420,,,,3,,
6,Ethical and Social Issues in Computing (Area F),CSC,2920,3,,,3,,
7,Public Speaking (Area F),SCOM,1500,,,,3,,
8,Principles of Physics I (Area F),PHYS,2211K,1,,,4,,
9,Principles of Physics II (Area F),PHYS,2212K,2;8,,,4,,
10,Astronomy of the Solar System (Area F),ASTR,1010K,,,,4,,
11,Linear Algebra I,MATH,2641,2,,,3,,
12,Applied Probability and Statistics for Computer Science,MATH,3020,2,,,3,,
13,Software Development-CTW,CSC,3350,14,,,4,,
14,Data Structures,CSC,2720,4;1;5,,,3,,
15,Computer Organization and Programming,CSC,3210,4;5,,,4,,
16,System-Level Programming,CSC,3320,4;5,,,3,,
17,Operating Systems,CSC,4320,16,,,4,,
18,Capstone Senior Design I-CTW,CSC,4351,13,,,2,,
19,Capstone Senior Design II-CTW,CSC,4352,18,,,2,,
20,Design and Analysis of Algorithms,CSC,4520,14;12,,,4,,
21,Computer Organization and Programming (CSC Elective),CSC,3210,4;5,,,4,,
22,Ethical Hacking (CSC Elective),CSC,4224,14;16,,,4,,
23,Compilers (CSC Elective),CSC,4340,14;15,,,4,,
24,Web Programming (CSC Elective),CSC,4370,16,,,4,,
25,Principles of Programming for Data Science I,DSCI,1301,,,,4,,
26,Principles of Programming for Data Science II,DSCI,1302,25,,,4,,
27,(General Elective),XX,XX,,,,3,,
28,(General Elective),XX,XX,,,,3,,
29,(General Elective),XX,XX,,,,3,,
30,(General Elective),XX,XX,,,,4,,
31,(General Elective),XX,XX,,,,4,,
32,(General Elective),XX,XX,,,,4,,
33,(General Elective),XX,XX,,,,3,,
34,(General Elective),XX,XX,,,,3,,
