Curriculum,BS Computer Science,,,,,,,,
Insitution,University of Illinois Urbana-Champaign,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science Orientation,CS,100,,,,1,,
2,Intro to Computer Science I,CS,124,,,,3,,
3,Calculus I,MATH,221,,,,4,,
4,Engineering Orientation,ENG,100,,,,1,,
5,Writing and Research,RHET,105,,,,4,,
6,Fundamentals of Env Sci,NRES,100,,,,3,,
7,Intro to Computer Science II,CS,128,2,,,3,,
8,Discret Structures,CS,173,2;3,,,3,,
9,Calculus II,MATH,231,3,,,3,,
10,Foundations of Research,GLBL,200,,,,3,,
11,Intro to Applied Statistics,CPSC,241,,,,3,,
12,Software Design Lab,CS,222,7,13,,1,,
13,Data Structures,CS,225,7;8,,,4,,
14,Calculus III,MATH,241,9,,,4,,
15,University Physics: Mechanics,PHYS,211,9,,,4,,
16,Web Design Fundamentals,IS,229,,,,3,,
17,Computer Architecture,CS,233,7;8,13,,4,,
18,Probability & Statistics for Computer Science,CS,361,3;13,,,3,,
19,Linear Algebra with Computational Applications,MATH,257,3,,,3,,
20,University Physics: Elec & Mag,PHYS,212,14;15,,,4,,
21,Database Systems,CS,411,13,,,3,,
22,Ethical & Professional Issues,CS,210,13,,,2,,
23,System Programming,CS,341,13;17,,,4,,
24,Numerical Methods I,CS,357,2;19,,,3,,
25,Software Engineering I,CS,427,12,,,3,,
26,Introduction to Computer Systems,CS,340,13,,,4,,
27,Introduction to Algorithms & Models of Computation,CS,374,8,,,4,,
28,Software Engineering II,CS,428,25,,,3,,
29,Senior Project I,CS,492,,,,3,,
30,Technology and Society,SOC,350,,,,3,,
31,Artificial Intelligence,CS,440,13;18,,,3,,
32,Programming Languages & Compilers,CS,421,17;19,,,3,,
33,Communication Networks,CS,438,11,,,3,,
34,Topics in Internet of Things,CS,437,11,,,3,,
35,Distributed Systems,CS,425,14,,,3,,
36,Formal Software Development Methods,CS,477,13,,,4,,
37,Deep Learning Theory,CS,540,19,,,3,,
38,Algorithms,CS,573,27;18,,,3,,
39,Virtual Reality,CS,417,13,,,3,,
40,Computer Security I,CS,461,14,,,4,,
41,Senior Thesis,CS,499,,,,3,,
,,,,,,,,,
