Curriculum,Stony_Brook_CS,,,,,,,,,
Institution,"Stony Brook University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Applied Calculus I","AMS","151",,,,3,"","",13.0,9,4.0,0
2,"Applied Calculus II","AMS","161","1",,,3,"","",4.0,1,3.0,3
3,"Finite Mathematical Structures (Math Elective)","AMS","301","4",,,3,"","",3.0,0,3.0,0
4,"Introduction to Linear Algebra","MAT","211","1",,,4,"","",8.0,4,4.0,13
5,"Survey of Probability and Statistics","AMS","310","2",,,3,"","",3.0,0,3.0,0
6,"Introduction to Object Oriented Programming","CSE","114",,,,4,"","",18.0,13,5.0,0
7,"Data Structures","CSE","214","6",,,4,"","",17.0,12,5.0,40
8,"Foundations of Computer Science","CSE","215","1",,,4,"","",4.0,1,3.0,3
9,"Programming Abstractions","CSE","216","7",,,4,"","",8.0,3,5.0,9
10,"Systems Fundamentals I","CSE","220","7",,,4,"","",8.0,4,4.0,16
11,"Introduction to the Theory of Computation","CSE","303","7;8",,,3,"","",3.0,0,3.0,0
12,"Computer Networks","CSE","310","7;10",,,3,"","",4.0,0,4.0,0
13,"Fundamentals of Software Development","CSE","316","9",,,3,"","",6.0,1,5.0,5
14,"System Fundamentals II","CSE","320","10",,,3,"","",4.0,0,4.0,0
15,"Analysis of Algorithms ","CSE","373","4;7",,,3,"","",3.0,0,3.0,0
16,"Software Engineering","CSE","416","13",,,3,"","",5.0,0,5.0,0
17,"User Interface Development (Upper Division CSE Elective)","CSE","333","7",,,3,"","",3.0,0,3.0,0
18,"Human Computer Interaction (Upper Division CSE Elective)","CSE","323","7",,,3,"","",3.0,0,3.0,0
19,"Software Security (Upper Division CSE Elective)","CSE","360","10",,,3,"","",4.0,0,4.0,0
20,"Cloud Computing (Upper Division CSE Elective)","CSE","356","10;9",,,3,"","",4.0,0,4.0,0
21,"Legal, Social, Ethical Issies in Information Systems","CSE","312",,,,3,"","",1.0,0,1.0,0
22,"Technical Communications","CSE","300","26",,,3,"","",2.0,0,2.0,0
23,"Geberal Chemisty (Science Elective)","CHE","131",,"4","25",4,"","",5.0,1,4.0,7
24,"General Chemisty Lab (Science Elective Lab)","CHE","133","23","4",,1,"","",4.0,0,4.0,0
25,"General Chemisty II (Natural Science Elective)","CHE","132",,,,4,"","",5.0,2,3.0,0
26,"Intermediate Writing Workshop","WRT","102",,,,3,"","",3.0,1,2.0,0
27,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
