Curriculum,Computer Science,,,,,,,,
Insitution,Boise State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Foundation of Intellectual Life,UF,100,,,,3,,
2,Foundations of Ethics and Diversity,UF,200,1;4,,,3,,
3,Writing and Rhetoric I,ENGL,101,,,,3,,
4,Writing and Rhetoric II,ENGL,102,3,,,3,,
5,Fundamentals of Oral Communication,COMM,101,,,,3,,
6,Calculus I,MATH,170,,,,4,,
7,Foundations of Arts ,XX,XX,,,,3,,
8,Foundations of Humanities,XX,XX,,,,3,,
9,Foundations of Social Sciences,XX,XX,,,,3,,
10,Foundations of Social Sciences,XX,XX,,,,3,,
11,General Chemistry I (Natural Science Elective),CHEM,111,6,12,,3,,
12,General Chemistry I Lab (Natural Science Elective),CHEM,111L,,,,1,,
13,Biology I (Natural Science Elective),BIOL,191,,,,3,,
14,Computer Science I,CS,121,6,,,4,,
15,Computer Science II,CS,221,14,,,3,,
16,Ethical Issues in Computing,CS,230,36;37;5;14,,,3,,
17,Software Development in C,CS,253,15,25,,3,,
18,Computer Security and Information Assurance,CS,331,14,,,3,,
19,Programming Languages,CS,354,38,,,3,,
20,Introduction to the Theory of Computation,CS,361,38,,,3,,
21,Algorithms,CS,421,38,,,3,,
22,Operating Systems,CS,452,16;17;38;29;26,,,3,,
23,Software Engineering,CS,471,38,,,3,,
24,Senoir Outcome Assessment,CS,488,,,,0,,
25,Navigating Computer Systems,CS,153,,14,,1,,
26,Introduction to Version Controll,CS,155,,25,,1,,
27,Digital Systems,ECE,230,14,28,,3,,
28,Digital Systems Lab,ECE,230L,,,,1,,
29,Microprocessors,ECE,330,27,30,,3,,
30,Microprocessors Lab,ECE,330L,,,,1,,
31,Introduction to Technical Communicatiom,WRITE,212,4,,,3,,
32,Calculus II,MATH,175,6,,,4,,
33,Discrete Mathematics,MATH,189,6,,,4,,
34,Senoir Design Project,CS,481,16;23,,,3,,
35,Introduction to Full Stack Development,CS,208,14,26,,3,,
36,Education Schoolsing and Society,ED-CIFS,201,,,,3,,
37,Philosophical Perspectives om Science and Mathematics,STEM-ED,220,,,,3,,
38,Data Structures,CS,321,15;33,35,,3,,
39,Probability and Statistics I,MATH,361,32,,,3,,
40,Introduction to Linear Algebra (Math Elective),MATH,301,32,,,3,,
41,Mobile Application Development (CS Elective),CS,402,38,,,3,,
42,Databases (CS Elective),CS,410,38,,,3,,
43,Computer Networks (CS Elective),CS,425,38;17,,,3,,
44,Computer Architecture (CS Elective),CS,441,29,,,3,,
