Curriculum,Illinois_State_University,,,,,,,,,
Institution,"Illinois State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Small Group Processes","COM","223",,,,3,"","",3.0,1,2.0,0
2,"Technical & Professional Writing","ENG","249",,,,3,"","",3.0,1,2.0,0
3,"Structured Problem Sloving Using the Computer","IT","168",,,,4,"","",21.0,16,5.0,0
4,"Introduction to Data Structures","IT","179","3",,,3,"","",18.0,13,5.0,65
5,"C++ Programming","IT","180","4",,,1,"","",11.0,6,5.0,29
6,"Introduction to IT Professional Practice","IT","191","3",,,1,"","",4.0,1,3.0,3
7,"Social Legal and Ethical Issues in Information Technology","IT","214","2;1",,,3,"","",2.0,0,2.0,0
8,"Computer Organization","IT","225","4",,,3,"","",10.0,5,5.0,18
9,"Systems Development I","IT","261","4","8",,3,"","",7.0,2,5.0,18
10,"Algorithms and Data Structures","IT","279","5","20",,3,"","",10.0,5,5.0,50
11,"Principles of Software Engineering","IT","326","4;9",,,3,"","",5.0,0,5.0,0
12,"Concepts of Programming Languages","IT","327","4",,,3,"","",5.0,1,4.0,4
13,"Introduction to the Theory of Computation","IT","328","10",,,3,"","",5.0,0,5.0,0
14,"Database Processing","IT","378","9",,,3,"","",5.0,0,5.0,0
15,"Principles of Operating Systems ","IT","383","5;10;8",,,3,"","",5.0,0,5.0,0
16,"introduction to Networking and Parallel and Distributed Computing","IT","386","4;8",,,3,"","",4.0,0,4.0,0
17,"Professional Practice in Information Technology","IT","398","6",,,6,"","",3.0,0,3.0,0
18,"Calculus I","MAT","145",,,,4,"","",14.0,9,5.0,0
19,"Calculus II","MAT","146","18",,,4,"","",12.0,7,5.0,25
20,"Discrete Mathematics","MAT","260","19",,,4,"","",11.0,6,5.0,25
21,"Compiler Design (CS Elective)","IT","329","10;12",,,3,"","",5.0,0,5.0,0
22,"Introduction to Artifical Intelligence (CS Elective)","IT","340","10",,,3,"","",5.0,0,5.0,0
23,"Information Reterieval and Search Engines (CS Elective)","IT","343","10",,,3,"","",5.0,0,5.0,0
24,"Statistical Reasoning","MGT","100","18",,,3,"","",2.0,0,2.0,0
25,"Biological Diversity (Science Elective)","BSC","196",,,,4,"","",1.0,0,1.0,0
26,"Molecular and Cellular Basis of Life","BSC","197",,,,4,"","",1.0,0,1.0,0
27,"Composition as Critical Inquiry","ENG","101",,,,3,"","",1.0,0,1.0,0
28,"Communication as Critical Inquiry","COM","110",,,,3,"","",1.0,0,1.0,0
29,"Natural Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"Natural Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"United States Traditions","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"Individuals and Civic Life","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Fine Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"Humanities","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"Language in the Humanities","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Social Sciences ","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
