Curriculum,Computer Science,,,,,,,,
Insitution,Illinois State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Small Group Processes,COM,223,,,,3,,
2,Technical & Professional Writing,ENG,249,,,,3,,
3,Structured Problem Sloving Using the Computer,IT,168,,,,4,,
4,Introduction to Data Structures,IT,179,3,,,3,,
5,C++ Programming,IT,180,4,,,1,,
6,Introduction to IT Professional Practice,IT,191,3,,,1,,
7,Social Legal and Ethical Issues in Information Technology,IT,214,1;2,,,3,,
8,Computer Organization,IT,225,4,,,3,,
9,Systems Development I,IT,261,4,8,,3,,
10,Algorithms and Data Structures,IT,279,5,20,,3,,
11,Principles of Software Engineering,IT,326,4;9,,,3,,
12,Concepts of Programming Languages,IT,327,4,,,3,,
13,Introduction to the Theory of Computation,IT,328,10,,,3,,
14,Database Processing,IT,378,9,,,3,,
15,Principles of Operating Systems ,IT,383,8;10;5,,,3,,
16,introduction to Networking and Parallel and Distributed Computing,IT,386,4;8,,,3,,
17,Professional Practice in Information Technology,IT,398,6,,,6,,
18,Calculus I,MAT,145,,,,4,,
19,Calculus II,MAT,146,18,,,4,,
20,Discrete Mathematics,MAT,260,19,,,4,,
21,Compiler Design (CS Elective),IT,329,10;12,,,3,,
22,Introduction to Artifical Intelligence (CS Elective),IT,340,10,,,3,,
23,Information Reterieval and Search Engines (CS Elective),IT,343,10,,,3,,
24,Statistical Reasoning,MGT,100,18,,,3,,
25,Biological Diversity (Science Elective),BSC,196,,,,4,,
26,Molecular and Cellular Basis of Life,BSC,197,,,,4,,
27,Composition as Critical Inquiry,ENG,101,,,,3,,
28,Communication as Critical Inquiry,COM,110,,,,3,,
29,Natural Sciences,XX,XX,,,,3,,
30,Natural Sciences,XX,XX,,,,3,,
31,United States Traditions,XX,XX,,,,3,,
32,Individuals and Civic Life,XX,XX,,,,3,,
33,Fine Arts,XX,XX,,,,3,,
34,Humanities,XX,XX,,,,3,,
35,Language in the Humanities,XX,XX,,,,3,,
36,Social Sciences ,XX,XX,,,,3,,
37,Free Elective,XX,XX,,,,3,,
38,Free Elective,XX,XX,,,,4,,
