Curriculum,University of Nebraska - Omaha,,,,,,,,,
Institution,"University of Nebraska - Omaha",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Intro to Computer Science I","CIST","1400",,,,3,"","",25.0,19,6.0,0
2,"Intro to Computer Science II","CSCI","1620","7;1",,,3,"","",24.0,18,6.0,234
3,"Introduction to C ","CSCI","2240","2",,,3,"","",3.0,0,3.0,0
4,"Organization, Applications and Tech","CIST","2100",,,,3,"","",1.0,0,1.0,0
5,"Intro to Applied Stats for IS&T","CIST","2500",,,,3,"","",5.0,2,3.0,0
6,"IT Ethics","CIST","3110","28",,,3,"","",2.0,0,2.0,0
7,"Calc I","MATH","1950",,,,5,"","",27.0,21,6.0,0
8,"Calc II","MATH","1960","7",,,4,"","",2.0,0,2.0,0
9,"Math Foundations of CS","CSCI","2030","7;2",,,3,"","",19.0,13,6.0,166
10,"Applied Linear Algebra","MATH","2050","7",,,3,"","",2.0,0,2.0,0
11,"Data Structures","CSCI","3320","2;9",,,3,"","",18.0,12,6.0,262
12,"Communication Networks","CSCI","3550",,"11",,3,"","",5.0,0,5.0,0
13,"Theory of Computation","CSCI","3660","11",,,3,"","",7.0,1,6.0,27
14,"Intro to digital design and organization","CSCI","3710",,"11",,3,"","",7.0,1,6.0,27
15,"Principles of Prog Languages","CSCI","4220","13;11",,,3,"","",6.0,0,6.0,0
16,"Computer Architecture","CSCI","4350","11",,,3,"","",7.0,1,6.0,27
17,"Operating Systems","CSCI","4500","16;7;11;14",,,3,"","",6.0,0,6.0,0
18,"Intro to SE","CSCI","4830","11",,,3,"","",7.0,1,6.0,27
19,"Capstone","CSCI","4970","18",,,3,"","",6.0,0,6.0,0
20,"CS Core Extension","CSCI","3470","26",,,3,"","",4.0,0,4.0,0
21,"CS Core Extension","CSCI","4250","11",,,3,"","",5.0,0,5.0,0
22,"CS Core Extension","CSCI","4450","11",,,3,"","",5.0,0,5.0,0
23,"CS Core Extension","CSCI","4620","11",,,3,"","",5.0,0,5.0,0
24,"CS Core Extension","CSCI","4850","11",,,3,"","",5.0,0,5.0,0
25,"CS Core Extension","CSCI","2830","2",,,3,"","",3.0,0,3.0,0
26,"CS Core Extension","CSCI","2410","5;2",,,3,"","",5.0,1,4.0,11
27,"Writing","CIST","3000",,,,3,"","",1.0,0,1.0,0
28,"English 1","ENGL","1150",,,,3,"","",3.0,1,2.0,0
29,"Core","Core ","1",,,,3,"","",1.0,0,1.0,0
30,"Core","Core ","2",,,,3,"","",1.0,0,1.0,0
31,"Core","Core ","3",,,,3,"","",1.0,0,1.0,0
32,"Core","Core ","4",,,,3,"","",1.0,0,1.0,0
33,"Core","Core ","5",,,,3,"","",1.0,0,1.0,0
34,"Core","Core ","6",,,,3,"","",1.0,0,1.0,0
35,"Core","Core ","7",,,,3,"","",1.0,0,1.0,0
36,"Core","Core ","8",,,,3,"","",1.0,0,1.0,0
37,"Core","Core ","9",,,,3,"","",1.0,0,1.0,0
38,"Elective","Elective","2",,,,3,"","",1.0,0,1.0,0
39,"Elective","Elective","1",,,,3,"","",1.0,0,1.0,0
