Curriculum,Computer Science BS,,,,,,,,
Insitution,University of California-Los Angeles,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Freshman Computer Science Seminar,Computer Science,1,,,,1,,
2,Introduction to Computer Science I,Computer Science,31,,,,4,,
3,English Composition Rhetoric and Language,English Composition,3,,,,5,,
4,Differential and Integral Calculus,Math,31A,,,,4,,
5,Introduction to Computer Science II,Computer Science,32,2,,,4,,
6,Integration and Infinite Series,Math,31B,4,,,4,,
7,Mechanics,Physics,1A,4;6,,9,5,,
8,Introduction to Computer Organization,Computer Science,33,5,,,5,,
9,Calculus of Several Variables,Math,32A,4,,,4,,
10,"Oscillations, Waves, Electric and Magnetic Fields",Physics,1B,7;6;9,,13,5,,
11,Softwear Construcation Labratory,Computer Science,35L,2,,,3,,
12,Logic Design of Digital Systems,Computer Science,M51A,,,,4,,
13,Calculus of Several Variables,Math,32B,6;9,,,4,,
14,Ethics Elective,XX,XX,,,,4,,
15,Linear Algebra and Applications,Math,33A,6,,,4,,
16,Introduction to Discrete Structures,Math,61,4;6,,,4,,
17,"Electrodynamics, Optics, and Special Relativity",Physics,1C,7;10;9;13,,15,5,,
18,Mechanics Laboratory,Physics,4AL,7,,10,2,,
19,Operating Systems Principles,Computer Science,111,5;8;11,,,5,,
20,Introductory Digital Design Laboratory,Computer Science,M152A,12,,,2,,
21,Differential Equations,Math,33B,6,,,4,,
22,GE Elective,XX,XX,,,,5,,
23,Computer Network Funamentals,Computer Science,118,19,,,4,,
24,Introduction to Algorithms and Complexity,Computer Science,180,5;16,,,4,,
25,Science and Technology Elective,XX,XX,,,,4,,
26,GE Elective,XX,XX,,,,4,,
27,Programming Languages,Computer Science,131,8;11,,,4,,
28,Computer Systems Architecture,Computer Science,M151B,8;12,,,4,,
29,Probability Elective,Math,XX,,,,5,,
30,GE Elective,XX,XX,,,,4,,
31,Introduction to Formal Languages and Automata Theory,Computer Science,181,24,,,4,,
32,Computer Science Elective (complier construction),Computer Science,132,27,,,4,,
33,Technical Breadth Course,XX,XX,,,,4,,
34,GE Elective,XX,XX,,,,5,,
35,Softwear Engineering,Computer Science,130,19;27,,,4,,
36,Computer Science Elective (Introduction to Computer Secuirty),Computer Science,136,23,,,4,,
37,Technical Breadth Course,XX,XX,,,,4,,
38,GE Elective,XX,XX,,,,5,,
39,Computer Science Elective (Data Management Systems),Computer Science,143,5,,,4,,
40,Computer Science Elective (Web Applications),Computer Science,144,39,,,4,,
41,Technical Breadth Course,XX,XX,,,,4,,
42,Computer Science Elective (Fundamentals of Artifical Intelligence),Computer Science,161,24,,,4,,
43,Science and Technology Elective,XX,XX,,,,4,,
44,Technical Breadth Course,XX,XX,,,,4,,
45,GE Elective,XX,XX,,,,2,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
