Curriculum,Computer Science,,,,,,,,
Insitution,Regis University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming,CS,210,,,,3,,
2,Data Structures,CS,310,1,,,3,,
3,Algorithms and Analysis,CS,324,2;18,,,3,,
4,Principles of Programming Languages,CS,390,2;18,,,3,,
5,Web and Database Applications,CS,336,2,,,3,,
6,Operating Systems,CS,431,3;4,,,3,,
7,Computer Organization,CS,440,3;4,,,3,,
8,Software Engineering,CS,444,5,,,3,,
9,Intro to AI,CS,473,3;4;22,,,3,,
10,Distributed Systems,CS,469,6,,,3,,
11,Computation Theory,CS,475,3;4,,,3,,
12,Ethical Leadership in CS,CS,479,5,,,3,,
13,Capstone,CS,493,8;12;6;7;8;9;10;11,,,3,,
14,CS Elective,CS,421,2;18,,,3,,
15,CS Elective,CS,445,2,,,3,,
16,CS Elective,CS,450,5,,,3,,
17,CS Elective,CS,465,2,,,3,,
18,Discrete Math,MT,320,19,,,3,,
19,Calculus 1,MT,360A,,,,4,,
20,Calculus 2,MT,360B,19,,,4,,
21,Linear Algebra,MT,415,19,,,3,,
22,Statistics,MT,472,20,,,3,,
23,1st year writing,RCC,200,,,,3,,
24,Justic and Common Good,RCC,420,,,,3,,
25,Written,COM,210,,,,3,,
26,Arts and Lit Gened,ARTS,101,,,,3,,
27,Arts and Lit Gened,ARTS,102,,,,3,,
28,Language ,LANG,101,,,,3,,
29,Language ,LANG,102,28,,,3,,
30,Diversity Gen Ed,DIV,101,,,,3,,
31,Diversity Gen Ed,DIV,102,,,,3,,
32,Sciences GenEd,SCI,101,,,,4,,
33,"Sciences CS, Gen Ed",SCI,102,,,,4,,
34,Philosphical Inquery gen ed,PL,270,,,,3,,
35,Philosphical Inquery gen ed,RCC,430M,,,,3,,
36,Religious Traditions,RT,201,,,,3,,
37,Religious Traditions,RS,201,,,,3,,
38,Elective,ELEC,101,,,,3,,
39,Elective,ELEC,102,,,,2,,
