Curriculum,Computer Science,,,,,,,,
Insitution,Dartmouth College,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming and Computation,COSC,1,,,,1,,
2,Problem Solving via Object-Oriented Programming,COSC,10,1,,,1,,
3,Discrete Mathematics in Computer Science (Course in theory and algorithms 1),COSC,30,1;2;14,,,1,,
4,Algorithms (Course in theory and algorithms 2),COSC,31,1;2;3,,,1,,
5,Software Design and Implementation (Course in systems and hardware 1),COSC,50,1;2,,,1,,
6,Computer Architecture (Course in systems and hardware 2),COSC,51,1;2,,,1,,
7,Foundations of Applied Computer Science (Course in applied computer science 1),COSC,70,1;2;14,,,1,,
8,Numerical Methods in Computation (Course in applied computer science 2),COSC,71,1;2,,,1,,
9,Advanced Algorithms (CS Elective 1),COSC,32,1;2;4,,,1,,
10,Principles of Programming Languages (CS Elective 2),COSC,59,1;2;3,,,1,,
11,Artificial Intelligence (CS Elective 3),COSC,76,1;2,,,1,,
12,Senior Design and Implementation Project I,COSC,98.01,1;2;5;6,,,1,,
13,Senior Design and Implementation Project II,COSC,98.02,1;2;12,,,1,,
14,Calculus,Math,3,,,,1,,
15,First Year Writing,Writing,5,,,,1,,
16,First-year Seminar,XX,7,,,,1,,
17,Distributive Requirement,ART,XX,,,,1,,
18,Distributive Requirement,LIT,XX,,,,1,,
19,Distributive Requirement,TMV,XX,,,,1,,
20,Distributive Requirement,INT,XX,,,,1,,
21,Distributive Requirement,SOC,XX,,,,1,,
22,Distributive Requirement,SOC,XX,,,,1,,
23,Distributive Requirement,QDS,XX,,,,1,,
24,Distributive Requirement,SCI,XX,,,,1,,
25,Distributive Requirement,SLA,XX,,,,1,,
26,Distributive Requirement,TAS,XX,,,,1,,
27,World Culture Requirment,W,XX,,,,1,,
28,World Culture Requirment,NW,XX,,,,1,,
29,World Culture Requirment,CI,XX,,,,1,,
30,Language Requirement,XX,1,,,,1,,
31,Language Requirement,XX,2,30,,,1,,
32,Language Requirement,XX,3,31,,,1,,
33,Elective,XX,XX,,,,1,,
34,Elective,XX,XX,,,,1,,
35,Elective,,,,,,1,,
