Curriculum,Computer Science BS,,,,,,,,
Insitution,University of Wisconsin - Milwaukee,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro Computer Programming,COMPSCI ,250,,,,3,,
2,Intermediate Computer Programming,COMPSCI ,251,1,,,3,,
3,Discrete Info Sci,COMPSCI ,317,1,,,3,,
4,System Programming,COMPSCI ,337,2,,,3,,
5,Into to SE,COMPSCI,361,6,,,3,,
6,Data Structures and Algorithms,COMPSCI,351,2,,,3,,
7,Ethics,COMPSCI,395,,,,3,,
8,Programming Lang Concepts,COMPSCI,431,6,,,3,,
9,Computer Architecture,COMPSCI,458,2,,,3,,
10,Algorithm Design ,COMPSCI,535,18;6;3,,,3,,
11,Intro to Operating Systems,COMPSCI,537,9,,,3,,
12,Capstone,COMPSCI,594,6,,,1,,
13,Capstone,COMPSCI,594,6,,,3,,
14,Seminar,EAS,200,,,,1,,
15,Tech elective,COMPSCI,422,3;6,,,3,,
16,Tech elective,COMPSCI,425,22;1,,,3,,
17,Tech elective,COMPSCI,469,3;1,,,3,,
18,Calculus,MATH,231,,,,4,,
19,Nat sci,CHEM,104,,,,3,,
20,Nat sci 2,GEO SCI,120,,,,3,,
21,Math Tech,MATH,205,,,,3,,
22,Math Tech,MATH,232,18,,,3,,
23,Math Tech,MATH,240,18,,,3,,
24,Free Elective,Elective,1,,,,3,,
25,Free Elective,Elective,2,,,,3,,
26,Free Elective,Elective,3,,,,3,,
27,Free Elective,Elective,4,,,,3,,
28,Free Elective,Elective,5,,,,3,,
29,Free Elective,Elective,6,,,,3,,
30,Free Elective,Elective,7,,,,3,,
31,Free Elective,Elective,8,,,,3,,
32,Free Elective,Elective,9,,,,3,,
33,Free Elective,Elective,10,,,,3,,
34,Free Elective,Elective,11,,,,3,,
35,Free Elective,Elective,12,,,,3,,
36,Free Elective,Elective,13,,,,3,,
37,Arts,art,1,,,,3,,
38,Humanities,hum,1,,,,3,,
39,Social Science,ss,1,,,,3,,
40,"Writing,Speaking, and Technoscience",ENGLISH,310,,,,3,,
41,Cultural Div,culture,1,,,,3,,
