Curriculum,Computer Science,,,,,,,,
Insitution,University of Texas Dallas,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Rhetoric,RHET,1302,,,,3,,
2,Professional and Technical Communication,ECS,3390,1,,,3,,
3,Calculus I,MATH,2417,,,,4,,
4,Calculus II,MATH,2419,3,,,4,,
5,Physics Laboratory I,PHYS,2125,,,,1,,
6,Physics Laboratory II,PHYS,2126,,,,1,,
7,Mechanics,PHYS,2325,3,4;5,,3,,
8,Electromagnetism and Waves,PHYS,2326,4;7,6,,3,,
9,Linear Algebra,MATH,2418,3,,,4,,
10,"Language, Philosophy, and Culture",XX,XX,,,,3,,
11,Creative Arts,XX,XX,,,,3,,
12,American History,XX,XX,,,,3,,
13,American History,XX,XX,,,,3,,
14,American Nantional Government,GOVT,2305,,,,3,,
15,State and Local Government,GOVT,2306,,,,3,,
16,Social and Behavioral Sciences,XX,XX,,,,3,,
17,Introduction to Engineering and Computer Science,ECS,1100,,,,1,,
18,Introduction to Computer Science and Software Engineering,CS,1200,,,,2,,
19,Computer Science Lab,CS,1136,,,,1,,
20,Programming Fundamentals,CS,1336,,,19,3,,
21,Computer Science I,CS,1337,20,,,3,,
22,Discrete Mathematics for Computing,CS,2305,,,,3,,
23,Computer Science II,CS,2336,21,22,,3,,
24,Computer Architecture,CS,2340,21;22,,,3,,
25,Professional Responsibility in Computer Science and Software Engineering,CS,3162,28;29,,,1,,
26,Discrete Mathematics for Computing II,CS,3305,22;3,,,3,,
27,Probability and Statistics in Computer Science and Software Engineering,CS,3341,4;22,,,3,,
28,Data Structures and Introduction to Algorithmic Analysis,CS,3345,,27,,3,,
29,Software Engineering,CS,3354,23;22,2,,3,,
30,Systems Programming in UNIX and other Enviroment,CS,3377,23,,,3,,
31,Digital Systems Laboratory,CS,4141,,,,1,,
32,Programming Language Paradigms,CS,4337,23;22;24,,,3,,
33,Digital Logic and Computer Design,CS,4341,24;8,31,,3,,
34,Database Systems,CS,4347,28,,,3,,
35,Operating Systems Concepts,CS,4348,24;28,,,3,,
36,Advanced Algorithm Design and Analysis,CS,4349,26;28,,,3,,
37,Automata Theory,CS,4384,26,,,3,,
38,Computer Science Project,CS,4485,28;29,,,4,,
39,Advanced Java (CS Elective),CS,4336,23,,,3,,
40,Introduction to Machine Learning (CS Elective),CS,4375,27;28,,,3,,
41,Object Oriented Design (CS Elective),CS,4376,23;29,,,3,,
42,Free Elective,XX,XX,,,,3,,
43,Free Elective,XX,XX,,,,3,,
