Curriculum,Computer Science,,,,,,,,
Insitution,Washington State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Arts,ARTS,1xx,,,,3,,
2,Program Design and Development Java,CPT S,131,3;4,,,4,,CS 1
3,Introduction to Computer Programming,CPT S,111,,,,3,,CS 0
4,Calculus I,MATH,171,,,,4,,
5,The Roots of Contemporary Issues ,HISTORY,105,,,,3,,
6,Introduction to Formal Logic,PHIL,201,,,,3,,
7,Data Structures Java ,CPT S,132,2,,,4,,CS 2
8,English 101,English ,101,,,,3,,
9,Calculus II,MATH ,172,4,,,4,,
10,Discrete Structures,MATH,216,4,,,3,,
11,Social Science,SSCI,1xx,,,,3,,
12,Advanced Data Structures Java,CPT S,233,7,10,,3,,
13,Introduction to Computer Architecture,CPT S,260,,12,,3,,
14, Programming Language Design,CPT S,355,12,,,3,,
15,Diversity,DIVR,1xx,,,,3,,
16,Minor Elective,ELECTIVE,1xx,,,,3,,
17,Introduction to Statistical Methods,STAT,212,4,,,4,,
18,Bio science w/lab,BSCI,1xx,,,,4,,
19,Physical Science w/lab,PSCI,1xx,,,,4,,
20,Minor Elective,ELECTIVE,1xx,,,,3,,
21,Minor Elective,ELECTIVE,1xx,,,,3,,
22,Science with lab,SCI,1xx,,,,4,,
23,Science elective no lab,SCI,1xx,,,,3,,
24,Minor UD elective,ELECTIVE,3xx,,,,3,,
25,Technical and Professional Writing,English ,402,8,,,3,,
26,Software Engineering Principles I ,CPT S,322,12,,,3,,
27,Professional Skills in Computing and Engineering,CPT S,302,7,,,3,,
28,Automata and Formal Languages ,CPT S,317,7;10,,,3,,
29,Systems Programming Java,CPT S,370,12,,,4,,
30,Minor UD elective,ELECTIVE,3xx,,,,3,,
31,Minor UD elective,ELECTIVE,3xx,,,,3,,
32,Humanities,HUM,1xx,,,,3,,
33,Fundamentals of Cyber Security and Cryptography,CPT S,327,12;13,29,,3,,
34,Design and Analysis of Algorithms,CPT S,350,12;28,,,3,,
35,Software Design Project I ,CPT S,421,26,29,,3,,
36,Software Design Project I,CPT S,423,35,,,3,,
37,Artificial Intelligence  (cs elective),CPT S,440,12,,,3,,
38, Introduction to Database Systems,CPT S,451,12,,,3,,
