Curriculum,Northeastern_CS,,,,,,,,,
Institution,"School",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"First Year Seminar","CS","1200",,,,1,"","",1.0,0,1.0,0
2,"Professional Development for Khoury Co-op","CS","1210","7",,,1,"","",4.0,0,4.0,0
3,"Discrete Structures","CS","1800",,,"4",4,"","",10.0,6,4.0,18
4,"Seminar for CS 1800","CS","1801",,,,1,"","",11.0,7,4.0,0
5,"Fundamentals of Computer Science 1","CS","2500",,,"6",4,"","",21.0,16,5.0,51
6,"Lab for CS 2500","CS","2501",,,,1,"","",22.0,17,5.0,0
7,"Fundamentals of Computer Science 2","CS","2510","5",,"8",4,"","",17.0,12,5.0,73
8,"Lab for CS 2510","CS","2511",,,,1,"","",17.0,13,4.0,0
9,"Mathematics of Data Models","CS","2810","5;3",,,4,"","",3.0,0,3.0,0
10,"Algorithms and Data","CS","3000","7;3",,"30",4,"","",7.0,2,5.0,32
11,"Object Oriented Design","CS","3500","7",,"12",4,"","",7.0,2,5.0,24
12,"Lab for CS 3500","CS","3501",,,,1,"","",6.0,3,3.0,0
13,"Computer Systems","CS","3650","7",,,4,"","",4.0,0,4.0,0
14,"Theory of Computation","CS","3800","7",,,4,"","",6.0,1,5.0,9
15,"Software Development","CS","4500","11",,,4,"","",5.0,0,5.0,0
16,"Foundations of Cybersecuirty","CY","2550","5",,,4,"","",3.0,0,3.0,0
17,"Public Speaking","COMM","1112",,,,4,"","",1.0,0,1.0,0
18,"Khoury Elective (Web Development)","CS","4550","11",,,4,"","",5.0,0,5.0,0
19,"Khoury Elective (Programming in C++)","CS","3520","7",,,4,"","",4.0,0,4.0,0
20,"Calculus 1 for Science and Engineering","MATH","1341",,,,4,"","",3.0,1,2.0,0
21,"Introduction to Mathematical Reasoning","MATH","1365",,,,4,"","",1.0,0,1.0,0
22,"Computing and Social Issues (Tech and Human Values)","PHIL","1145",,,,4,"","",1.0,0,1.0,0
23,"Fundamentals of Digital Design and Computer Organization","EECE","2322","7;3",,"24",4,"","",4.0,0,4.0,0
24,"Lab for EECE 2322","EECE","2323",,,,1,"","",3.0,1,2.0,0
25,"Science Elective (General Biology 1)","BIOL","1111",,"26",,4,"","",2.0,0,2.0,0
26,"Science Elective Lab (Lab for BIOL 1111)","BIOL","1112",,,,1,"","",3.0,1,2.0,0
27,"Science Elective (Calculus 2)","MATH","1342","20",,,4,"","",2.0,0,2.0,0
28,"First Year Writing","ENGW","1111",,,,4,"","",3.0,1,2.0,0
29,"Advanced Writing in the Technical Professions","ENGW","3302","28",,,4,"","",2.0,0,2.0,0
30,"Recitation for CS 3000","CS","3001",,,,0,"","",6.0,3,3.0,0
31,"Logic and Computation (Foundations Concentration)","CS","2800","5;3",,,4,"","",5.0,1,4.0,8
32,"Fundamentals of Complexity Theory (Foundations Concentration)","CS","4805","14",,,4,"","",5.0,0,5.0,0
33,"Advanced Algorithms (Foundations Concentration)","CS","4810","10",,,4,"","",5.0,0,5.0,0
34,"Computer-Aided Reasoning (Foundations Concentration)","CS","4820","10;31",,,4,"","",5.0,0,5.0,0
35,"Interpreting Culture Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
36,"Engaging Difference and Diversity Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
39,"General Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
