Curriculum,Linguistics,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,First-Year Writing,1111,ENGW,,,,4,,
2,Introduction to Language and Linguistics,1150,LING,,,,4,,
3,Linguistic Analysis,2350,LING,2,,,4,,
4,Language and Culture,3412,LING,1;2,,,4,,
5,Phonetics,3420,LING,3,,,4,,
6,Phonology,3422,LING,3,,,4,,
7,Morphology,3424,LING,3,,,4,,
8,Syntax,3450,LING,3,,,4,,
9,Semantics,3452,LING,2,,,4,,
10,Sociolinguistics,3442,LING,1;2,,,4,,
11,History of English,3454,LING,2,,,4,,
12,Field Linguistics,3150,LING,2,,,4,,
13,Seminar in Linguistics,4654,LING,3,,,4,,
14,Linguistics Elective (Discourse Analysis),3250,LING,2,,,4,,
15,Linguistics Elective (Language Acquisition),3440,LING,2,,,4,,
16,Linguistics Elective (Language Endangerment and Vitality),3446,LING,2,,,4,,
17,Linguistics Elective (Language and Gender),3456,LING,1;2,,,4,,
18,Linguistics Elective (Historical Linguistics),3460,LING,3,,,4,,
19,Language Course 1,ANG1,LA,,,,4,,
20,Language Course 2,ANG2,LA,19,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
