Curriculum,Political Science,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,American Government,1150,POLS,,,,4,,
2,Comparative Politics,1155,POLS,,,,4,,
3,International Relations,1160,POLS,,,,4,,
4,First-Year Writing,1111,ENGW,,,,4,,
5,Research Methods in Political Science,2399,POLS,4,,,4,,
6,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
7,Quantitative Techniques,2400,POLS,6,,,4,,
8,Ancient Philosophy and Political Thought,2325,POLS,4,,,4,,
9,Political Science Senior Capstone,4701,POLS,,,,4,,
10,Model United Nations,4910,POLS,,,,4,,
11,Elective (The Holocaust and Comparative Genocide),2282,POLS,,,,4,,
12,Elective (Ancient Philosophy and Political Thought),2325,POLS,4,,,4,,
13,Elective (Modern Political Thought),2328,POLS,,,,4,,
14,Elective (American Political Thought),2330,POLS,,,,4,,
15,Elective (Contemporary Political Thought),2332,POLS,,,,4,,
16,Elective (Politics and Film),2333,POLS,,,,4,,
17,Elective (Business and Government),2340,POLS,1,,,4,,
18,Elective (Urban Policies and Politics),2345,POLS,1,,,4,,
19,"Gender, Social Justice, and Transnational Activism",3100,POLS,,,,4,,
20,Local Campaigns and Elections,3162,POLS,1,,,4,,
21,The U.S. Congress,3300,POLS,1,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
