Curriculum,Criminology and Criminal Justice,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Criminal Justice at Northeastern,1000,CRIM,,,,4,,
2,Introduction to Criminal Justice,1100,CRIM,,,,4,,
3,Criminal Due Process,1110,CRIM,,,,4,,
4,Criminology,1120,CRIM,,,,4,,
5,The Death Penalty,1300,CRIM,,,,4,,
6,Computer Science and Its Applications,1100,CS,,7,,4,,
7,Lab for CS 1100,1101,CS,,,,1,,
8,Courts: The Third Branch of Government,2310,CRIM,,,,4,,
9,Youth Crime and Justice,2320,CRIM,,,,4,,
10,Professional Development for Co-op,2000,EESH,,,,1,,
11,Criminal Justice Research Methods,3600,CRIM,,,,4,,
12,Analyzing and Using Data on Crime and Justice,3700,CRIM,,,,4,,
13,Criminal Violence,3010,CRIM,,,,4,,
14,"Gender, Crime, and Justice",3110,CRIM,,,,4,,
15,Co-op Integration Seminar 2 (required after first co-op),3000,CRIM,10,,,1,,
16,Senior Capstone Seminar,4949,CRIM,,,,4,,
17,Co-op Integration Seminar 3,4000,CRIM,15,,,1,,
18,Elective (Victims of Crime),3020,CRIM,,,,4,,
19,Elective (Global Criminology),3030,CRIM,,,,4,,
20,Elective (Psychology of Crime),3040,CRIM,,,,4,,
21,Elective (Political Crime and Terrorism),3060,CRIM,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
