Curriculum,Psychology,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Foundations of Psychology,1101,PSYC,,,,4,,
2,Social Psychology,3402,PSYC,1,,,4,,
3,Sensation and Perception,3452,PSYC,1,,,4,,
4,Cognition,3466,PSYC,1,,,4,,
5,Statistics in Psychological Research,2320,PSYC,1,,,4,,
6,Seminar in Cognition,4660,PSYC,4;5,,,4,,
7,Laboratory in Cognition,4612,PSYC,5;4;9,,,4,,
8,Laboratory in Social Psychology,4614,PSYC,5;2;9,,,4,,
9,First-Year Writing,1111,ENGW,,,,4,,
10,Personality,3400,PSYC,1,,,4,,
11,Developmental Psychology,3404,PSYC,1,,,4,,
12,Biological Psychology,3458,PSYC,1,,,4,,
13,Psychology of Language,3464,PSYC,1,,,4,,
14,Learning and Motivation,3450,PSYC,1,,,4,,
15,Education in the Community,1111,EDUC,,,,4,,
16,"Culture, Equity, Power, and Influence",5503,EDUC,15,,,4,,
17,"Child and Adolescent Development, Learning, and Teaching",5504,EDUC,15,,,4,,
18,Calculus 1,1241,MATH,,,,4,,
19,General Elective,XXXX,XX,,,,4,,
20,General Elective,XXXX,XX,,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
