Curriculum,CS - BYU,,,,,,,,,
Institution,"Brigham Young University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Computer Science","CS","111","23",,,3,"","",25.0,18,7.0,109
2,"Introduction to Computer Systems","CS","224","3",,,3,"","",6.0,1,5.0,5
3,"Data Structures and Algorithms","CS","235","1",,,3,"","",23.0,16,7.0,106
4,"Discrete Structures","CS","236","3",,,3,"","",20.0,13,7.0,57
5,"Advanced Programming Concepts","CS","240","4;3",,,4,"","",18.0,11,7.0,96
6,"Introduction to Computational Theory","CS","252","4",,,3,"","",5.0,0,5.0,0
7,"Algorithm Design and Analysis","CS","312","5",,,3,"","",9.0,2,7.0,26
8,"Systems Programming","CS","324","2",,,3,"","",5.0,0,5.0,0
9,"Software Design","CS","340","5",,,3,"","",8.0,1,7.0,13
10,"Ethics and Computers in Society","CS","404","5;14",,,2,"","",8.0,1,7.0,17
11,"Calculus 1","MATH","112",,,,4,"","",3.0,1,2.0,0
12,"Calculus 2","MATH","113","11",,,4,"","",2.0,0,2.0,0
13,"Introduction to Newtonian Mechanics","PHSCS","121","10",,,3,"","",7.0,0,7.0,0
14,"Technical Communication","WRTG","316","24",,,3,"","",6.0,2,4.0,4
15,"CS Elective List","CS","260","1",,,3,"","",3.0,0,3.0,0
16,"CS Elective List","CS","330","5",,,3,"","",6.0,0,6.0,0
17,"CS Elective List","CS","356","5",,,3,"","",6.0,0,6.0,0
18,"CS Elective List","CS","428","9",,,3,"","",7.0,0,7.0,0
19,"CS Elective List","CS","453","5",,,3,"","",6.0,0,6.0,0
20,"CS Elective List","CS","470","7;25",,,3,"","",7.0,0,7.0,0
21,"CS Elective List","CS","472","7;25",,,3,"","",7.0,0,7.0,0
22,"CS Elective List","CS","329","5",,,3,"","",6.0,0,6.0,0
23,"How to Program","CS","110",,,,3,"","",26.0,19,7.0,0
24,"First Year Wriging","WRTG","100",,,,3,"","",7.0,3,4.0,0
25,"Principles of Statistics","STAT","121",,,,3,"","",4.0,2,2.0,0
26,"Teachings and Doctrine of The Book of Mormon","REL","275",,,,2,"","",1.0,0,1.0,0
27,"Jesus Christ and the Everlasting Gospel","REL","250",,,,2,"","",1.0,0,1.0,0
28,"Foundation of Restoration","REL","225",,,,2,"","",1.0,0,1.0,0
29,"The Eternal Family","REL","200",,,,2,"","",1.0,0,1.0,0
30,"American Heritage","GEN_ED","101",,,,3,"","",1.0,0,1.0,0
31,"Global and Culture","GEN_ED","102",,,,3,"","",1.0,0,1.0,0
32,"Civilization 2 I","CIV","101",,,,3,"","",1.0,0,1.0,0
33,"Civilization Elective 2","CIV","102",,,,3,"","",1.0,0,1.0,0
34,"Arts I","ARTS","101",,,,3,"","",1.0,0,1.0,0
35,"Letters I","GEN_ED","103",,,,3,"","",1.0,0,1.0,0
36,"Bio Science","BIO","101",,,,3,"","",1.0,0,1.0,0
37,"Social Science ","GEN_ED","105",,,,3,"","",1.0,0,1.0,0
38,"Religion Electives","ELEC","105",,,,3,"","",1.0,0,1.0,0
39,"Religion Electives","ELEC","106",,,,3,"","",1.0,0,1.0,0
40,"Elective","ELEC","107",,,,2,"","",1.0,0,1.0,0
41,"American Heritage 2","GEN_ED","110",,,,3,"","",1.0,0,1.0,0
