Curriculum,Computer Science,,,,,,,,
Insitution,Villanova University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Encrichment Sem in Computing,CSC,1990,,,,1,,
2,Algorithms & Data Struct I,CSC,1051,,,,4,,
3,Algorithms & Data Struct II,CSC,1052,2,,,4,,
4,Discrete Structures,CSC,1300,,,,3,,
5,Analysis of Algorithms,CSC,1700,4;3,,,3,,
6,Organ of Prog Languages,CSC,1800,4;3,,,3,,
7,Platform Based Computing,CSC,2053,3,,,3,,
8,Statistics for Computing,CSC,2300,2;4,,,3,,
9,Computer Systems I,CSC,2400,3;4,,,3,,
10,Computer Systems II,CSC,2405,9,,,3,,
11,Theory of Computation,CSC,4170,5,,,3,,
12,Principles of Database Systems,CSC,4480,2;4,,,3,,
13,Softwear Engineering,CSC,4700,3,,,3,,
14,Senior Projects,CSC,4790,13,,,3,,
15,Computer Ethics,PHI,2180,,,,3,,
16,Calculus I,MAT,1500,,,,4,,
17,Linear Algebra for Computing,MAT,2400,16,,,4,,
18,Natural Science with Lab,XX,XX,,,,4,,
19,Natural Science with Lab,XX,XX,,,,4,,
20,CS Elective (Overview of Cybersecurity),CSC,3010,,,,3,,
21,CS Elective (Information Retrival),CSC,3400,3;4,,,3,,
22,CS Elective (Applied Machine Learning),CSC,4505,3;4;8,,,3,,
23,CS Elective (Web Application Development),CSC,4800,7,,,3,,
24,Augustine and Culture Seminar,ACS,1000,,,,3,,
25,Augustine and Culture Seminar,ACS,1001,,,,3,,
26,Theology and Religious Studies,THL,1000,,,,3,,
27,Philosophy,PHI,1000,,,,3,,
28,Ethics,ETH,2050,,,,3,,
29,Language Requirement I,XX,XX,,,,4,,
30,Language Requirement II,XX,XX,,,,4,,
31,Literature and Writing Seminar,XX,XX,,,,3,,
32,History,XX,XX,,,,3,,
33,Social Sciences,XX,XX,,,,3,,
34,Social Sciences,XX,XX,,,,3,,
35,Fine Arts,XX,XX,,,,3,,
36,Theology and Religious Studies - Upper Division,THL,XX,26,,,3,,
37,Diversity 1,XX,XX,,,,3,,
38,Diversity 2,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,2,,
