Curriculum,Computer Science,,,,,,,,
Insitution,California State University Los Angelous,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,MATH,2110,,,,4,,
2,Calculus II,MATH,2120,1,,,4,,
3,Introduction to Linear Algebra,MATH,2550,2,,,3,,
4,General Physics I: Mechanics,PHYS,2100,1,,,5,,
5,Introduction to Higher Education for Computer Science Majors,CS,1010,,,,3,,
6,Introduction to Relational Databases,CS,1222,5,,,3,,
7,Introduction to Programming I,CS,2011,5,,,4,,
8,Intorduction to Programming II,CS,2012,7,,,4,,
9,Programming with Data Structures,CS,2013,8,,,4,,
10,Discrete Structures,CS,2148,7;1,,,4,,
11,Introduction to Computer Systems,CS,2445,7,,,3,,
12,Fundamentals of Network Systems and Cybersecurity,CS,2470,7,,,3,,
13,Accelerated College Writing,ENGL,1010,,,,3,,
14,Introduction to Technical Writing,ENGL,2030,13,,,3,,
15,Programming Paradigms,CS,3035,9,,,3,,
16,Analysis of Algorithms,CS,3112,9;10,,,3,,
17,Introduction to Automata Theory,CS,3186,9;10,,,3,,
18,Web and Internet Programming,CS,3220,6;9,,,3,,
19,Software Engineering,CS,3337,9,14,,3,,
20,Societal and Ethical Issues in Computing,CS,3801,9,,,3,,
21,Introduction to Operating Systems,CS,4440,9;11;12,,,3,,
22,Software Design Laboratory I,CS,4961,15;16;17;18;19;20,21,,3,,
23,Software Design Laboratory II,CS,4962,22,,,3,,
24,Computer Science Recapitulation,CS,4963,3;4,23,,3,,
25,Compilers (CS Elective),CS,4188,15;16;17,,,3,,
26,Current Trends in Web Design and Development (CS Elective),CS,4220,16;18,,,3,,
27,Principles of Data Base Systems (CS Elective),CS,4222,6;16,,,3,,
28,Computer Networking Protocols (CS Elective),CS,4470,9;12,,,3,,
29,Artifical Intelligence (CS Elective),CS,4660,16,,,3,,
30,Introduction to Data Science (CS Elective),CS,4661,16,,,3,,
31,A1 Oral Communication,XX,XX,,,,3,,
32,A3 Critical Thinking and Composition,XX,XX,,,,3,,
33,American Institutions ,XX,XX,,,,3,,
34,American Institutions ,XX,XX,,,,3,,
35,Natural Science,XX,XX,,,,2,,
36,Natural Science,XX,XX,,,,3,,
37,Arts,XX,XX,,,,3,,
38,Humanities,XX,XX,,,,2,,
