Curriculum,Computer Science BS,,,,,,,,
Insitution,University of Texas at Austin,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Differential and Integral Calculus,Math,408C,,,,4,,
2,"Sequences, Series, and Multivariable Calculus",Math,408D,1,,,4,,
3,Matrices and Matrix Calculations,Math,340L,1,,,3,,
4,Probability I,Math,362K,2,,,3,,
5,Principles of Chemisty I,Chem,301,,,,3,,
6,Principles of Chemisty II,Chem,302,5,,,3,,
7,Upper Division Science Elective,XX,XX,,,,4,,
8,Discrete Mathematics for Computer Science,Com Sci,311,10;1,,,3,,
9,Algorithms and Complexity,Com Sci,331,12;4;3,,,3,,
10,Introduction to Programming,Com Sci,312,1,,,3,,
11,Data Structures,Com Sci,314,10,,,3,,
12,Computer Organization and Architecture,Com Sci,429,8;11,,,4,,
13,Principles of Computer Systems,Com Sci,439,12,,,4,,
14,Upper Division CS Elective (Elements of Networking),Com Sci,326E,11,,,4,,
15,Upper Division CS Elective (Debugging & Verifying Programs),Com Sci,340D,12,,,4,,
16,Upper Division CS Elective (Elements of Software Engineering I),Com Sci,330E,11,,,4,,
17,Upper Division CS Elective (Principles of Computer Systems),Com Sci,439,12,,,4,,
18,Upper Division CS Elective (Neural Networks),Com Sci,342,12,,,4,,
19,Upper Division CS Elective (Artificial Intelligence),Com Sci,343,12;4,,,4,,
20,First year Signature Course,UGS,302,,,,3,,
21,Rhtoric and Writing,RHE,306,,,,3,,
22,Writing Flagged Course,XX,XX,,,,3,,
23,American Literature,E,316M,21,,,3,,
24,American Government,GOV,310L,,,,3,,
25,Second Gov Course,GOV,XX,,,,3,,
26,United States History,HIS,XX,,,,3,,
27,United States History,HIS,XX,,,,3,,
28,Social and Behavioral Sciences ,XX,XX,,,,3,,
29,Mathematics,XX,XX,,,,3,,
30,Natural Science and Tech I,XX,XX,,,,3,,
31,Natural Science and Tech I,XX,XX,,,,3,,
32,Natural Science and Tech II,XX,XX,,,,3,,
33,Arts,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,4,,
