Curriculum,University of Connecticut BS: Software Design and Development,,,,,,,,,
Institution,"University of Connecticut",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Intro to computing for engineers","CSE","1010",,,,3,"","",22.0,17,5.0,0
2,"Data Structures and OOD","CSE","2050","1",,,3,"","",19.0,14,5.0,52
3,"Intro to Discrete Systems","CSE","2500","1",,,3,"","",15.0,10,5.0,23
4,"Contemporary Issues in Computer Science and Engineering","CSE","3000","5;9",,,1,"","",4.0,0,4.0,0
5,"Systems Programming","CSE","3100","2",,,3,"","",13.0,8,5.0,29
6,"Cybersecurity Lab","CSE","3140","2",,,2,"","",3.0,0,3.0,0
7,"C++ Essentials","CSE","3150","5",,,3,"","",4.0,0,4.0,0
8,"Algorithms and Complexity","CSE","3500","2;3",,,3,"","",7.0,2,5.0,10
9,"Introduciton to Computer Architecture","CSE","3666","2;3",,,3,"","",6.0,2,4.0,16
10,"Design Project I","CSE","4939W","5;8",,,3,"","",6.0,1,5.0,15
11,"Design Project II","CSE","4940","10",,,3,"","",5.0,0,5.0,0
12,"Intro to SE","CSE","2102","2","3",,3,"","",5.0,1,4.0,8
13,"Functional Programming Fundamentals","CSE","3160","5",,,3,"","",4.0,0,4.0,0
14,"Mobile App Development","CSE","3200","5;12",,,3,"","",4.0,0,4.0,0
15,"Operating Systems","CSE","4300","5;9",,,3,"","",4.0,0,4.0,0
16,"Computer Networks and Data Communication","CSE","3300","5",,,3,"","",4.0,0,4.0,0
17,"Intro to Computer and network Security","CSE","3400","3",,,3,"","",3.0,0,3.0,0
18,"Theory of Computation","CSE","3502","2;3",,,3,"","",3.0,0,3.0,0
19,"Multivariable Calculus","MATH","2110Q","34",,,4,"","",5.0,1,4.0,4
20,"Linear Algebra","MATH","2210Q","34",,,3,"","",3.0,0,3.0,0
21,"Probability","MATH","3160","19",,,3,"","",4.0,0,4.0,0
22,"Chem I","CHEM","1127Q",,,,4,"","",4.0,2,2.0,0
23,"Chem II","CHEM","1128Q","22",,,4,"","",2.0,0,2.0,0
24,"Principles of Biology I","BIOL","1107",,"22",,4,"","",2.0,0,2.0,0
25,"A&H Gen Ed","A&H","101",,,,3,"","",1.0,0,1.0,0
26,"A&H Gen Ed","A&H","102",,,,3,"","",1.0,0,1.0,0
27,"Social Sci Gen Ed","SS","101",,,,3,"","",1.0,0,1.0,0
28,"Social Sci Gen Ed","SS","102",,,,3,"","",1.0,0,1.0,0
29,"Diversity Gen Ed","Div","101",,,,3,"","",1.0,0,1.0,0
30,"Diversity Gen Ed","Div","102",,,,3,"","",1.0,0,1.0,0
31,"Intro to writing","ENGL","1007",,,,3,"","",3.0,1,2.0,0
32,"Intensive ","ENGL","3000","31",,,3,"","",2.0,0,2.0,0
33,"Calc I","MATH","1131Q",,,,4,"","",8.0,4,4.0,0
34,"Calc II","MATH","1132Q","33",,,4,"","",7.0,3,4.0,7
35,"Elective","Elective","101",,,,3,"","",1.0,0,1.0,0
36,"Elective","Elective","102",,,,3,"","",1.0,0,1.0,0
37,"Elective","Elective","103",,,,3,"","",1.0,0,1.0,0
38,"Elective","Elective","104",,,,3,"","",1.0,0,1.0,0
39,"Elective","Elective","105",,,,3,"","",1.0,0,1.0,0
