Curriculum,Computer Scince,,,,,,,,
Insitution,East Carolina University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Fundamentals of Speech Communication,COMM,2020,,,,3,,
2,Professional Ethics,PHIL,2275,,,,3,,
3,Algorithmic Problem Solving,CSCI,1010,,,,4,,
4,Algorithmic Problem Solving Lab,CSCI,1011,,,3,0,,
5,Discrete Structures I,CSCI,2400,,,,3,,
6,Discrete Structures II,CSCI,2405,5,,,3,,
7,Digital Logic Design,CSCI,2410,,,,3,,
8,Algorithms and Data Structures,CSCI,2530,3,5,,3,,
9,Data Abstraction and Object Oriented Design,CSCI,2540,8,6,,4,,
10,Operating Systems,CSCI,3000,6;8,,,3,,
11,Computer Network,CSCI,3010,7;8,,,3,,
12,Software Engineering I,CSCI,3030,9,,,3,,
13,Computational Linear Algebra,CSCI,3584,22,,,3,,
14,Design and Analysis of Algorithms,CSCI,3650,6;8,,,3,,
15,Principles of Programming Languages,CSCI,3675,9,,,3,,
16,Database Mangement Systems,CSCI,3700,9,,,3,,
17,Software Engineering II,CSCI,4230,12;16,,18,3,,
18,Software Engineering II Lab,CSCI,4231,,,,0,,
19,Computer Architecture,CSCI,4520,7,,,3,,
20,"Automata, Computability and Complexity",CSCI,4602,6;8,,,3,,
21,Ethical and Professional Issues in Computer Science,CSCI,4900,,,,1,,
22,Calculus I,MATH,2171,23,,,4,,
23,Pre Calculus Mathematics,MATH,1085,24,,,4,,
24,College Algebra,MATH,1065,,,,3,,
25,Elementary Statistical Methods,MATH,2228,,,,3,,
26,Principles of Biology I (Science Elective),BIOL,1100,,27,,3,,
27,Principles of Biology Labratory I (Science Elective),BIOL,1101,,,,1,,
28,Principles of Biology II (Science Elective),BIOL,1200,26;27,29,,3,,
29,Principles of Biology Labratory II (Science Elective),BIOL,1201,26;27,,,1,,
30,Cloud Computing (CS Elective),CSCI,4170,10;11,,,3,,
31,Big Data Analytics (CS Elective),CSCI,4180,16,,,3,,
32,Mobile Computing (CS Elective),CSCI,4540,9;11,,,3,,
33,Procedural Languages and Compliers (CS Elective),CSCI,4627,7;15,,,3,,
34,Humanites and Fine Arts,XX,XX,,,,3,,
35,Humanites,XX,XX,,,,3,,
36,Fine Arts,XX,XX,,,,3,,
37,Social Sciences,XX,XX,,,,3,,
38,Social Sciences,XX,XX,,,,3,,
39,Social Sciences,XX,XX,,,,3,,
40,Health Promotion,XX,XX,,,,3,,
41,General Elective,XX,XX,,,,4,,
42,General Elective,XX,XX,,,,4,,
