Curriculum,Computer Scince,,,,,,,,
Insitution,Columbia University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computing for Engineers and Applied Scientists,ENGI,E1006,,,,3,,
2,Intro to CS and Programming in Java ,COMS,W1004,,,,3,,cs 1
3,Data Structures in Java ,COMS,W3134,2,,,3,,cs 2
4,Advanced Programming ,COMS,W3157,3,,,4,,
5,Discrete Mathematics ,COMS,W3203,2,,,4,,discrete
6,Computational Linear Algebra ,COMS,W3251,,,,4,,
7,Computer Science Theory ,COMS,W3261,5,,,3,,
8,Fundamentals of Computer Systems ,CSEE,W3827,2,,,3,,
9,(Foundations of CS required) Analysis of Algorithms ,CSOR,W4231,3;5,,,3,,
10,(Foundations of CS required) Introduction to Computational Complexity ,COMS,W4236,7,,,3,,
11,(Foundations of CS elective) Graph Theory,COMS,W4203,5,,,3,,
12,(Foundations of CS elective) Introduction to Cryptography,COMS,W4261,,,,3,,
13,(CS Breadth Elective) Artifical Intelligence,COMS,W4701,3,,,3,,
14,Elective,XX,XX,,,,3,,
15,Elective,XX,XX,,,,3,,
16,Calc III,MATH,UN1201,17,,,3,,calc 3
17,Calc I,MATH,UN1101,,,,3,,calc 1
18,Eurpn Lit-Philsos Masterpiecs 1,HUMA,CC1001,,,,4,,
19,Eurpn Lit-Philsos Masterpiecs 2,HUMA,CC1002,18,,,4,,
20,Frontiers Of Science,SCNC,CC1000,,21,,4,,
21,Frontiers Of Science Disc,SCNC,CC1100,,,,0,,
22,University Writing,ENGL,CC1010,,,,3,,
23,Contemp Western Civilization 1,COCI,CC1101,,,,4,,
24,Contemp Western Civilization 2,COCI,CC1102,,,,4,,
25,Masterpieces Of Western Art,HUMA,UN1121,,,,3,,
26,Masterpieces Of Western Music,HUMA,UN1123,,,,3,,
27,Core Curriculum Scince Requirement,XX,XX,,,,3,,
28,Core Curriculum Scince Requirement,XX,XX,,,,4,,
29,Core Curriculum Golbal Core Requirment,XX,XX,,,,3,,
30,Core Curriculum Global Core Requirment,XX,XX,,,,3,,
31,Core Curriculum Foreign Language Requirement,XX,XX,,,,3,,
32,Core Curriculum Foreign Language Requirement,XX,XX,,,,3,,
33,Core Curriculum Physical Education Requirment,XX,XX,,,,3,,
34,Core Curriculum Physical Education Requirment,XX,XX,,,,3,,
35,Elective,XX,XX,,,,4,,
36,Elective,XX,XX,,,,4,,
37,Elective,XX,XX,,,,4,,
38,Elective,XX,XX,,,,4,,
