Curriculum,Computer Science,,,,,,,,
Insitution,University of Texas San Antonio,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Academic Inquiry and Scholarship (First Year Experince),AIS,1203,,,,3,,
2,Freshman Composition I,WRC,1013,,,,3,,
3,Freshman Composition II,WRC,1023,2,,,3,,
4,Calculus I (Math Elective),MAT,1214,,,,3,,
5,Life and Physical Sciences,XX,XX,,,,3,,
6,Life and Physical Sciences,XX,XX,,,,3,,
7,"Language, Philosopy, and Culutre",XX,XX,,,,3,,
8,Creative Arts,XX,XX,,,,3,,
9,American Hisotry,XX,XX,,,,3,,
10,American Hisotry,XX,XX,,,,3,,
11,Government-Political Science,XX,XX,,,,3,,
12,Government-Political Science,XX,XX,,,,3,,
13,Social and Behavioral Sciences,XX,XX,,,,3,,
14,Component Area Option,XX,XX,,,,3,,
15,Programming I for Computer Science,CS,1083,,,,3,,
16,Computer Programming II,CS,1714,15,,,4,,
17,Data Structures,CS,2124,16,4,,4,,
18,Calculus II,MAT,1224,4,,,4,,
19,Essence of Computer Science,CS,1011,,,,1,,
20,Discrete Mathematical Structures,CS,2233,15,,,3,,
21,Mathematical Foundation of Computer Science,CS,3333,16;18,,,3,,
22,Analysis of Algorithms,CS,3343,17;20;21,,,3,,
23,Systems Programming,CS,3424,17,,,4,,
24,Application Programming,CS,3443,17,,,3,,
25,Computer Organization,CS,3843,16,,,3,,
26,Computer Architecture,CS,3853,25;17,,,3,,
27,Operating Systems,CS,3733,23;24;25,,,3,,
28,Software Engineering (Upper CS Elective),CS,3773,24,,,3,,
29,Programming Languages (Upper CS Elective),CS,3723,20;24,,,3,,
30,User Interfaces (Upper CS Elective),CS,4393,24,,,3,,
31,Web Technologies (Upper CS Elective),CS,4413,23,,,3,,
32,Senoir Design I (Upper CS Elective),CS,4613,24;28,,,3,,
33,Senoir Design II (Upper CS Elective),CS,4623,32,,,3,,
34,Secure Software Development and Analysis (Upper CS Elective),CS,4683,24,,,3,,
35,Object Oriented Systems (Upper CS Elective),CS,4773,28,,,3,,
36,Database Systems (Upper CS Elective),CS,3743,20;23,,,3,,
37,Artificial Intelligence (Upper CS Elective),CS,3793,22,,,3,,
38,Free Elective,XX,XX,,,,3,,
39,Free Elective,XX,XX,,,,4,,
