Curriculum,University_of_North_Carolina_Charlotte_CS,,,,,,,,,
Institution,"University of North Carolina Charlotte",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus I","MATH","1241",,,,3,"","",21.0,16,5.0,0
2,"Calculus II","MATH","1242","1",,,3,"","",4.0,1,3.0,3
3,"Introduction to Computer Science I","ITSC","1212",,,,4,"","",19.0,14,5.0,0
4,"Introduction to Computer Science II","ITSC","1213","3","1",,4,"","",16.0,11,5.0,80
5,"Computing Professionals","ITSC","1600",,,,2,"","",1.0,0,1.0,0
6,"Logic and Algorithms","ITSC","2175","3;1",,,3,"","",2.0,0,2.0,0
7,"Introduction to Computer Systems","ITSC","2181","3",,,4,"","",6.0,2,4.0,4
8,"Data Structures and Algorithms","ITSC","2214","4",,,3,"","",13.0,8,5.0,68
9,"Introduction to Operating Systems and Networking","ITSC","3146","7;8",,,3,"","",6.0,1,5.0,14
10,"Software Engineering","ITSC","3155","8",,,3,"","",6.0,1,5.0,10
11,"Computers and their Impact on Society","ITSC","3688",,,,3,"","",1.0,0,1.0,0
12,"Matrices and Linear Algebra","MATH","2164","1",,,3,"","",2.0,0,2.0,0
13,"Introduction to Probability and Statistics","STAT","2122","2",,,3,"","",3.0,0,3.0,0
14,"Non CS Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
15,"Non CS Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
16,"Non CS Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
17,"Non CS Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
18,"Non CS Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
19,"Software Development Projects (Capstone Course)","ITSC","4155","10;8",,,3,"","",5.0,0,5.0,0
20,"Parallel and Distributed Computing (Software Concentration)","ITCS","3145","9;8",,,3,"","",5.0,0,5.0,0
21,"Introduction to Computer Networks (Software Concentration)","ITCS","3166","4",,,3,"","",3.0,0,3.0,0
22,"Design and Implementation of Object Oriented Systems  (Software Concentration)","ITCS","3112","8",,,3,"","",4.0,0,4.0,0
23,"Programming Languages (Software Concentration)","ITCS","4102","8",,,3,"","",4.0,0,4.0,0
24,"Dtabase Design and Implementation (Software Concentration)","ITCS","3160","4",,,3,"","",3.0,0,3.0,0
25,"Mobile Application Development (CS Elective)","ITCS","4180","8",,,3,"","",4.0,0,4.0,0
26,"Operating Systems (CS Elective)","ITCS","3143","8",,,3,"","",4.0,0,4.0,0
27,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"General Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
