Curriculum,Computer Science,,,,,,,,
Insitution,San Diego State,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Programming ,CS,150,,,2,3,,
2,Introduction to Computer Programming Lab,CS,150L,,, ,1,,
3,Intermidiate Computer Programming,CS,160,1,,4,3,,
4,Intermidiate Computer Programming Lab,CS,160L,,,,1,,
5,Data Structures,CS,210,3;10,,,3,,
6,Machine Organization and Assembly Language,CS,240,3,,,3,,
7,Introdution to Software Systems,CS,250,6,,,3,,
8,Calculus I,MATH,150,,,,4,,
9,Calculus II,MATH,151,8,,,4,,
10,Discrete Mathematics,MATH,245,8,,,3,,
11,Introduction to Linear Algebra,MATH,254,9,,,3,,
12,Principles of Physics,PHYS,195,8,,13,3,,
13,Principles of Physics Lab,PHYS,195L,,,,1,,
14,Principles of Physics,PHYS,196,12;9,,15,3,,
15,Principles of Physics Lab,PHYS,196L,,,,1,,
16,Basic Statistical Methods,STAT,250,,,,3,,
17,Computer Architecture,CS,370,7,,,3,,
18,Advanced Programming Languages,CS,420,5;6,,,3,,
19,Introduction to Artifical Intelligence,CS,450,5;11;7,,,3,,
20,Algorithms,CS,460,5,,,3,,
21,Operating Systems,CS,480,5;6,,,3,,
22,Applied Probability,STAT,550,,,,3,,
23,System Programming (CS Elective),CS,530,5;6,,,3,,
24,Software Engineering (CS Elective),CS,532,7,,,3,,
25,Human Computer Interfaces (CS Elective),CS,546,5;18,,,3,,
26,Machine Learning (CS Elective),CS,549,5;11,,,3,,
27,Introduction to Web Application Development (CS Elective),CS,545,5,,,3,,
28,Wireless Networks (CS Elective),CS,578,5,,,3,,
29,Upper Divison Writing,XX,XXW,,,,3,,
30,Lower Division Writing ,XX,XX,,,,3,,
31,American Institutions ,XX,XX,,,,3,,
32,American Institutions ,XX,XX,,,,3,,
33,Language Requirment,XX,XX,,,,3,,
34,Language Requirment,XX,XX,33,,,3,,
35,Language Requirment,XX,XX,34,,,3,,
36,General Eduation,XX,XX,,,,3,,
37,General Eduation,XX,XX,,,,3,,
38,General Eduation,XX,XX,,,,3,,
39,General Eduation,XX,XX,,,,3,,
40,General Eduation,XX,XX,,,,3,,
41,General Eduation,XX,XX,,,,3,,
42,General Eduation,XX,XX,,,,3,,
